Jun 29 2017 at 9:59:53
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.05	24.47	73.85	0.00	0.0677	12.41	546.2	415.94	0.0334	228.7	4.116	7.66	-1.11	1.63
	0.98	24.48	73.77	0.00	0.0677	12.35	543.3	414.19	0.0319	225.6	4.060	7.57	-1.30	1.63
	1.98	24.48	73.80	0.00	0.0681	12.27	540.0	411.55	0.0320	214.3	3.858	7.19	-1.99	1.63
	2.98	24.50	73.85	0.00	0.0708	12.72	559.7	426.26	0.0308	206.8	3.722	6.93	-2.48	1.62
	3.98	24.50	73.82	0.00	0.0697	12.66	557.2	424.53	0.0294	189.5	3.411	6.35	-3.65	1.62
	4.98	24.50	73.80	0.00	0.0694	12.68	558.0	425.29	0.0286	192.5	3.465	6.46	-3.44	1.62
	5.98	24.50	73.82	0.00	0.0696	12.62	555.2	422.98	0.0267	169.4	3.050	5.68	-5.13	1.63
	6.98	24.50	73.80	0.00	0.0686	12.55	552.3	420.91	0.0280	179.1	3.224	6.01	-4.40	1.63
	7.98	24.48	73.80	0.00	0.0689	12.59	553.9	422.10	0.0250	164.8	2.966	5.53	-5.50	1.62
	10.58	24.50	73.80	0.00	0.0689	12.56	552.7	421.26	0.0256	158.8	2.858	5.32	-5.98	1.63
	10.58	24.46	73.80	0.00	0.0688	12.51	550.7	419.61	0.0282	181.3	3.264	6.08	-4.24	1.62
	10.97	24.52	73.80	0.00	0.0685	12.49	549.5	418.82	0.0309	194.8	3.506	6.53	-3.28	1.63
	11.98	24.52	73.80	0.00	0.0680	12.40	545.5	415.75	0.0293	197.9	3.562	6.64	-3.06	1.63
	13.06	24.54	73.80	0.00	0.0680	12.34	543.1	413.95	0.0285	185.9	3.346	6.23	-3.90	1.62
	13.98	24.54	73.82	0.00	0.0680	12.34	543.2	413.86	0.0306	201.8	3.632	6.77	-2.80	1.62
	14.98	24.52	73.80	0.00	0.0677	12.32	541.9	413.02	0.0299	192.0	3.455	6.44	-3.47	1.62
	15.98	24.52	73.77	0.00	0.0673	12.23	538.2	410.32	0.0314	212.3	3.822	7.12	-2.12	1.62
	16.98	24.54	73.80	0.00	0.0674	12.18	536.0	408.58	0.0330	218.2	3.928	7.32	-1.75	1.63
	17.98	24.52	73.80	0.00	0.0674	12.22	537.8	409.86	0.0317	211.7	3.810	7.10	-2.16	1.63
	18.98	24.54	73.82	0.00	0.0672	12.20	536.7	408.95	0.0336	221.6	3.988	7.43	-1.54	1.62
	19.98	24.52	73.80	0.00	0.0675	12.20	536.8	409.10	0.0308	221.3	3.983	7.42	-1.56	1.63
	20.98	24.52	73.80	0.00	0.0676	12.26	539.3	411.01	0.0320	209.4	3.769	7.02	-2.31	1.62
	21.98	24.56	73.85	0.00	0.0676	12.28	540.2	411.46	0.0322	217.3	3.912	7.28	-1.80	1.63
	22.98	24.56	73.80	0.00	0.0674	12.29	540.7	412.15	0.0322	202.9	3.653	6.81	-2.73	1.63
	23.98	24.56	73.85	0.00	0.0674	12.24	538.4	410.08	0.0323	216.7	3.901	7.26	-1.84	1.63
	24.98	24.56	73.80	0.00	0.0677	12.25	539.0	410.87	0.0320	216.3	3.893	7.25	-1.87	1.63
	25.97	24.56	73.80	0.00	0.0673	12.26	539.2	411.03	0.0330	219.2	3.946	7.35	-1.68	1.62
	26.98	24.53	73.77	0.00	0.0672	12.20	536.6	409.16	0.0328	215.0	3.870	7.21	-1.95	1.62
	27.97	24.51	73.77	0.00	0.0672	12.20	536.7	409.15	0.0339	230.1	4.142	7.72	-1.02	1.63
	28.98	24.59	73.80	0.00	0.0670	12.15	534.7	407.62	0.0342	230.3	4.146	7.73	-1.01	1.63
	29.98	24.57	73.80	0.00	0.0675	12.20	536.6	409.06	0.0345	233.6	4.205	7.84	-0.82	1.62
	30.98	24.59	73.80	0.00	0.0679	12.37	544.1	414.78	0.0343	221.6	3.990	7.43	-1.53	1.62
	31.98	24.59	73.82	0.00	0.0684	12.39	545.3	415.54	0.0330	218.8	3.939	7.34	-1.71	1.62
	32.98	24.59	73.80	0.00	0.0681	12.47	548.9	418.45	0.0326	201.6	3.629	6.76	-2.81	1.62
