Jun 29 2017 at 9:31:52
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.83	17.92	73.82	0.00	0.0680	12.35	543.3	404.79	0.0298	191.9	3.455	6.29	-3.77	1.54
	1.83	17.94	73.82	0.00	0.0680	12.35	543.3	404.76	0.0291	184.3	3.318	6.04	-4.31	1.54
	2.83	17.94	73.85	0.00	0.0679	12.34	542.9	404.38	0.0272	173.6	3.124	5.69	-5.11	1.54
	3.83	17.94	73.82	0.00	0.0679	12.34	543.0	404.56	0.0276	182.4	3.282	5.98	-4.46	1.54
	4.83	17.92	73.82	0.00	0.0678	12.35	543.3	404.73	0.0295	186.9	3.364	6.13	-4.13	1.54
	5.83	17.94	73.82	0.00	0.0679	12.35	543.3	404.75	0.0293	192.1	3.458	6.30	-3.76	1.54
	6.83	17.97	73.82	0.00	0.0680	12.35	543.4	404.90	0.0297	191.7	3.451	6.28	-3.79	1.54
	7.83	17.97	73.82	0.00	0.0680	12.35	543.6	405.04	0.0297	200.2	3.604	6.56	-3.21	1.54
	8.83	17.95	73.80	0.00	0.0679	12.34	542.8	404.55	0.0286	181.7	3.270	5.96	-4.50	1.54
	9.83	17.95	73.82	0.00	0.0679	12.34	543.0	404.60	0.0286	187.2	3.370	6.14	-4.11	1.54
	10.83	17.99	73.80	0.00	0.0679	12.34	542.9	404.71	0.0292	189.0	3.403	6.20	-3.97	1.54
	11.83	17.99	73.82	0.00	0.0679	12.34	543.2	404.74	0.0304	208.2	3.747	6.83	-2.68	1.54
	12.83	17.99	73.82	0.00	0.0680	12.34	542.9	404.57	0.0293	189.5	3.411	6.21	-3.94	1.54
