Jun 29 2017 at 9:37:49
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.36	19.31	73.85	0.00	0.0686	12.53	551.4	412.60	0.0290	178.5	3.214	5.88	-4.67	1.56
	1.36	19.33	73.82	0.00	0.0697	13.46	592.3	443.36	0.0339	225.9	4.066	7.44	-1.52	1.56
	2.36	19.36	73.85	0.00	0.0680	12.32	542.2	405.77	0.0349	233.9	4.211	7.70	-1.04	1.56
	3.36	19.36	73.82	0.00	0.0677	12.28	540.3	404.55	0.0361	241.1	4.340	7.94	-0.62	1.56
	4.36	19.36	73.85	0.00	0.0674	12.22	537.5	402.30	0.0371	256.2	4.611	8.44	0.21	1.56
	5.36	19.34	73.80	0.00	0.0667	12.06	530.8	397.49	0.0416	291.4	5.245	9.60	2.00	1.56
	6.34	19.38	73.82	0.00	0.0676	12.30	541.2	405.19	0.0350	230.9	4.157	7.61	-1.21	1.56
	7.36	19.38	73.80	0.00	0.0686	12.34	543.1	406.78	0.0278	220.3	3.965	7.26	-1.86	1.56
	8.44	19.38	73.82	0.00	0.0681	12.35	543.4	406.88	0.0313	220.0	3.961	7.25	-1.87	1.56
	9.36	19.39	73.82	0.00	0.0676	12.30	541.4	405.35	0.0347	228.1	4.106	7.52	-1.38	1.56
	10.36	19.38	73.82	0.00	0.0671	12.20	537.0	402.06	0.0380	256.1	4.610	8.44	0.21	1.56
	11.36	19.39	73.80	0.00	0.0668	12.12	533.4	399.54	0.0412	276.7	4.981	9.12	1.28	1.56
	12.36	19.39	73.85	0.00	0.0692	12.56	552.8	413.79	0.0245	168.8	3.038	5.56	-5.41	1.56
	13.36	19.38	73.85	0.00	0.0692	12.65	556.5	416.55	0.0248	147.8	2.660	4.87	-7.15	1.56
	14.36	19.41	73.85	0.00	0.0687	12.48	549.0	410.98	0.0286	190.0	3.419	6.26	-3.84	1.56
	15.36	19.39	73.85	0.00	0.0674	12.22	537.7	402.47	0.0376	253.3	4.559	8.34	0.05	1.56
	16.36	19.41	73.82	0.00	0.0681	12.33	542.5	406.24	0.0324	225.1	4.052	7.42	-1.56	1.56
	17.36	19.41	73.82	0.00	0.0686	12.16	535.1	400.66	0.0284	272.0	4.895	8.96	1.04	1.56
	18.36	19.41	73.82	0.00	0.0692	12.65	556.6	416.78	0.0237	146.5	2.637	4.83	-7.26	1.56
	19.36	19.41	73.82	0.00	0.0692	12.65	556.7	416.84	0.0241	145.9	2.627	4.81	-7.31	1.56
	20.36	19.43	73.82	0.00	0.0692	12.65	556.8	416.93	0.0242	146.5	2.637	4.83	-7.26	1.56
	21.34	19.44	73.82	0.00	0.0685	12.51	550.2	412.08	0.0300	183.9	3.309	6.06	-4.28	1.56
	22.36	19.44	73.88	0.00	0.0679	12.36	543.7	406.89	0.0345	222.2	3.999	7.32	-1.73	1.56
	23.44	19.46	73.82	0.00	0.0690	12.61	554.7	415.46	0.0255	159.1	2.864	5.24	-6.18	1.56
	24.36	19.46	73.82	0.00	0.0682	12.52	550.9	412.61	0.0324	180.3	3.246	5.94	-4.53	1.56
	25.36	19.43	73.82	0.00	0.0677	12.27	539.8	404.25	0.0356	246.0	4.428	8.10	-0.35	1.56
	26.36	19.46	73.80	0.00	0.0691	12.60	554.3	415.25	0.0257	161.9	2.915	5.34	-5.95	1.56
	27.36	19.46	73.85	0.00	0.0680	12.54	551.6	412.96	0.0339	177.2	3.190	5.84	-4.76	1.56
	28.36	19.44	73.82	0.00	0.0674	12.30	541.2	405.31	0.0385	243.4	4.382	8.02	-0.49	1.56
	29.36	19.46	73.80	0.00	0.0692	12.64	556.4	416.83	0.0242	149.8	2.696	4.94	-6.97	1.56
	30.36	19.48	73.82	0.00	0.0694	12.65	556.8	417.05	0.0237	147.3	2.651	4.85	-7.19	1.56
	31.36	19.48	73.82	0.00	0.0693	12.66	556.8	417.07	0.0237	147.4	2.653	4.86	-7.18	1.56
	32.36	19.46	73.82	0.00	0.0692	12.65	556.7	416.91	0.0238	147.8	2.661	4.87	-7.14	1.56
