Jun 29 2017 at 9:52:37
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.02	22.82	73.82	0.00	0.0670	12.15	534.6	404.96	0.0355	240.1	4.322	8.00	-0.52	1.60
	1.02	22.86	73.80	0.00	0.0669	12.14	534.2	404.90	0.0359	242.1	4.358	8.07	-0.41	1.60
	2.02	22.86	73.80	0.00	0.0668	12.12	533.3	404.20	0.0373	249.1	4.485	8.31	-0.01	1.60
	3.02	22.86	73.82	0.00	0.0670	12.11	532.9	403.73	0.0364	250.0	4.500	8.33	0.04	1.60
	4.02	22.84	73.82	0.00	0.0668	12.10	532.2	403.22	0.0371	254.0	4.571	8.47	0.25	1.60
	5.02	22.89	73.80	0.00	0.0667	12.10	532.3	403.52	0.0374	250.8	4.515	8.37	0.08	1.60
	6.02	22.86	73.85	0.00	0.0668	12.09	532.0	402.91	0.0375	254.3	4.577	8.47	0.27	1.60
	7.02	22.87	73.82	0.00	0.0668	12.08	531.3	402.57	0.0380	257.6	4.637	8.59	0.45	1.60
	8.02	22.85	73.82	0.00	0.0666	12.02	528.8	400.63	0.0387	271.8	4.893	9.06	1.19	1.60
	9.02	22.84	73.80	0.00	0.0668	12.04	529.9	401.58	0.0383	265.5	4.778	8.85	0.86	1.60
	10.09	22.89	73.80	0.00	0.0666	11.97	526.7	399.20	0.0402	295.7	5.323	9.86	2.37	1.60
	11.02	22.87	73.82	0.00	0.0664	11.99	527.7	399.83	0.0409	285.2	5.134	9.51	1.87	1.60
	12.02	22.85	73.82	0.00	0.0665	12.02	529.0	400.76	0.0395	273.4	4.922	9.11	1.28	1.60
	13.02	22.87	73.82	0.00	0.0665	12.00	528.2	400.22	0.0401	278.7	5.017	9.29	1.54	1.60
	14.02	22.91	73.82	0.00	0.0665	11.97	526.8	399.18	0.0410	290.5	5.229	9.69	2.12	1.60
	15.02	22.89	73.80	0.00	0.0665	12.00	527.9	400.14	0.0399	279.3	5.028	9.32	1.57	1.60
	16.02	22.91	73.80	0.00	0.0663	11.99	527.7	400.01	0.0402	281.8	5.072	9.40	1.70	1.60
	17.02	22.91	73.80	0.00	0.0663	11.98	527.2	399.65	0.0410	285.2	5.134	9.51	1.87	1.60
	18.02	22.93	73.82	0.00	0.0664	11.97	526.9	399.27	0.0414	289.5	5.212	9.65	2.08	1.60
	19.02	22.89	73.82	0.00	0.0662	11.94	525.4	398.13	0.0427	299.9	5.399	10.00	2.57	1.60
	20.02	22.93	73.85	0.00	0.0661	11.92	524.4	397.29	0.0433	306.9	5.524	10.23	2.90	1.60
	21.09	22.93	73.80	0.00	0.0661	11.95	525.7	398.54	0.0422	296.5	5.338	9.89	2.41	1.60
	22.02	22.91	73.80	0.00	0.0662	11.94	525.2	398.09	0.0423	301.6	5.429	10.06	2.65	1.60
	23.09	22.94	73.82	0.00	0.0661	11.92	524.3	397.36	0.0430	307.0	5.526	10.24	2.90	1.60
	24.02	22.94	73.82	0.00	0.0661	11.92	524.5	397.48	0.0430	306.0	5.507	10.20	2.85	1.60
	25.02	22.92	73.82	0.00	0.0660	11.92	524.5	397.45	0.0429	304.9	5.489	10.17	2.81	1.60
	26.02	22.96	73.80	0.00	0.0661	11.91	524.2	397.41	0.0435	309.2	5.565	10.31	3.00	1.60
	27.02	22.96	73.80	0.00	0.0661	11.89	523.2	396.69	0.0441	314.5	5.661	10.49	3.24	1.60
	28.02	22.92	73.82	0.00	0.0661	11.87	522.5	395.93	0.0447	321.0	5.778	10.70	3.53	1.60
	29.02	22.98	73.80	0.00	0.0660	11.87	522.1	395.84	0.0456	323.3	5.820	10.79	3.64	1.60
	30.02	22.98	73.80	0.00	0.0659	11.86	522.0	395.77	0.0454	327.7	5.899	10.93	3.83	1.60
	31.02	22.98	73.82	0.00	0.0658	11.87	522.1	395.76	0.0455	324.5	5.840	10.82	3.69	1.60
	32.02	22.98	73.82	0.00	0.0658	11.84	521.2	395.02	0.0457	330.0	5.940	11.01	3.93	1.60
	33.02	23.00	73.80	0.00	0.0659	11.84	521.2	395.18	0.0461	332.3	5.982	11.09	4.03	1.60
	34.02	22.98	73.77	0.00	0.0658	11.86	521.8	395.75	0.0457	330.8	5.955	11.04	3.96	1.60
	35.02	22.96	73.80	0.00	0.0657	11.84	521.0	394.97	0.0467	336.2	6.052	11.22	4.19	1.60
	36.02	23.00	73.80	0.00	0.0657	11.84	520.8	394.90	0.0466	337.7	6.079	11.27	4.26	1.60
	37.02	23.00	73.80	0.00	0.0658	11.82	520.1	394.35	0.0470	344.2	6.195	11.48	4.53	1.60
	38.03	23.00	73.82	0.00	0.0656	11.82	520.2	394.32	0.0473	341.7	6.151	11.40	4.42	1.60
	39.02	23.00	73.80	0.00	0.0657	11.80	519.3	393.78	0.0479	349.3	6.287	11.65	4.74	1.60
	40.02	23.01	73.82	0.00	0.0658	11.80	519.2	393.54	0.0476	347.1	6.248	11.58	4.65	1.60
	41.02	23.01	73.82	0.00	0.0658	11.79	519.0	393.41	0.0476	350.9	6.317	11.71	4.81	1.60
	42.03	23.01	73.80	0.00	0.0657	11.79	518.7	393.33	0.0477	349.3	6.288	11.66	4.74	1.60
	43.03	23.03	73.82	0.00	0.0656	11.79	518.5	393.11	0.0480	353.0	6.354	11.78	4.89	1.60
	44.03	23.01	73.80	0.00	0.0656	11.79	518.7	393.33	0.0484	354.5	6.380	11.83	4.95	1.60
	45.02	23.03	73.82	0.00	0.0654	11.76	517.4	392.26	0.0492	364.9	6.567	12.17	5.37	1.60
	46.03	23.03	73.80	0.00	0.0657	11.77	518.1	392.87	0.0485	359.4	6.469	11.99	5.15	1.60
	47.02	23.01	73.80	0.00	0.0655	11.77	517.9	392.75	0.0486	360.5	6.489	12.03	5.19	1.60
	48.03	23.05	73.85	0.00	0.0655	11.76	517.2	392.00	0.0489	362.1	6.518	12.07	5.26	1.60
	49.02	23.05	73.80	0.00	0.0654	11.75	517.1	392.14	0.0495	365.6	6.581	12.20	5.40	1.60
	50.03	23.05	73.80	0.00	0.0653	11.75	516.9	392.04	0.0494	366.1	6.589	12.22	5.41	1.60
	51.09	23.06	73.85	0.00	0.0656	11.75	516.8	391.69	0.0493	366.1	6.590	12.21	5.42	1.60
	52.03	23.05	73.80	0.00	0.0654	11.73	516.2	391.50	0.0497	370.2	6.664	12.35	5.58	1.60
	53.05	23.03	73.80	0.00	0.0653	11.73	516.3	391.50	0.0500	371.1	6.681	12.38	5.61	1.60
	54.03	23.04	73.80	0.00	0.0653	11.73	516.3	391.52	0.0501	372.9	6.712	12.44	5.68	1.61
	55.03	23.04	73.80	0.00	0.0653	11.72	515.9	391.24	0.0503	375.3	6.756	12.52	5.77	1.60
	56.03	23.08	73.80	0.00	0.0653	11.72	515.6	391.10	0.0503	376.3	6.774	12.56	5.81	1.60
	57.03	23.08	73.85	0.00	0.0652	11.71	515.1	390.42	0.0506	378.5	6.813	12.62	5.90	1.60
	58.03	23.06	73.80	0.00	0.0653	11.72	515.5	390.98	0.0508	378.8	6.819	12.64	5.91	1.60
	59.03	23.10	73.82	0.00	0.0652	11.70	515.0	390.49	0.0511	381.2	6.862	12.72	6.00	1.61
	60.03	23.10	73.82	0.00	0.0652	11.69	514.2	389.88	0.0517	394.8	7.107	13.17	6.51	1.61
	61.03	23.10	73.80	0.00	0.0653	11.69	514.4	390.17	0.0518	389.2	7.006	12.99	6.30	1.60
	62.03	23.08	73.82	0.00	0.0652	11.68	514.0	389.71	0.0517	390.1	7.022	13.01	6.33	1.60
	63.03	23.08	73.82	0.00	0.0651	11.67	513.4	389.28	0.0519	391.5	7.047	13.06	6.39	1.60
	64.03	23.12	73.80	0.00	0.0651	11.67	513.4	389.44	0.0522	395.9	7.127	13.21	6.55	1.60
	65.03	23.10	73.80	0.00	0.0650	11.67	513.3	389.34	0.0525	395.9	7.127	13.21	6.55	1.61
	66.11	23.10	73.82	0.00	0.0650	11.65	512.4	388.56	0.0528	403.4	7.261	13.46	6.82	1.61
	67.03	23.10	73.80	0.00	0.0650	11.66	512.9	389.05	0.0530	401.0	7.218	13.38	6.73	1.61
	68.05	23.12	73.80	0.00	0.0648	11.65	512.7	388.91	0.0530	400.5	7.210	13.37	6.72	1.61
	69.03	23.13	73.80	0.00	0.0648	11.63	511.9	388.35	0.0535	404.6	7.282	13.50	6.87	1.61
	70.03	23.13	73.82	0.00	0.0649	11.62	511.1	387.58	0.0540	413.2	7.438	13.79	7.18	1.61
	71.03	23.11	73.80	0.00	0.0649	11.64	512.2	388.53	0.0535	406.1	7.309	13.55	6.92	1.61
	72.03	23.13	73.82	0.00	0.0649	11.63	511.7	388.03	0.0531	405.4	7.297	13.53	6.90	1.61
	73.03	23.15	73.80	0.00	0.0648	11.63	511.6	388.15	0.0535	406.8	7.322	13.58	6.95	1.61
	74.03	23.15	73.80	0.00	0.0648	11.62	511.5	388.03	0.0536	408.8	7.358	13.65	7.02	1.61
	75.03	23.15	73.82	0.00	0.0647	11.60	510.6	387.23	0.0545	415.5	7.479	13.87	7.26	1.61
	76.03	23.15	73.80	0.00	0.0648	11.60	510.5	387.30	0.0545	418.0	7.524	13.95	7.34	1.61
	77.11	23.13	73.80	0.00	0.0649	11.60	510.4	387.18	0.0545	416.3	7.493	13.90	7.28	1.61
	78.03	23.15	73.80	0.00	0.0646	11.58	509.7	386.67	0.0553	425.2	7.653	14.19	7.59	1.61
	79.05	23.17	73.82	0.00	0.0644	11.58	509.7	386.54	0.0552	422.3	7.601	14.09	7.49	1.61
	80.03	23.17	73.82	0.00	0.0647	11.59	509.8	386.65	0.0551	423.1	7.615	14.12	7.52	1.61
	81.11	23.15	73.82	0.00	0.0646	11.56	508.7	385.79	0.0566	430.5	7.749	14.37	7.78	1.61
	82.03	23.19	73.82	0.00	0.0644	11.56	508.8	385.93	0.0558	427.9	7.703	14.28	7.69	1.61
	83.05	23.17	73.80	0.00	0.0646	11.56	508.8	386.02	0.0557	429.1	7.724	14.33	7.73	1.61
	84.03	23.20	73.80	0.00	0.0647	11.57	508.9	386.17	0.0552	427.0	7.685	14.25	7.66	1.61
	85.03	23.18	73.80	0.00	0.0645	11.56	508.5	385.78	0.0564	432.9	7.792	14.45	7.86	1.61
	86.03	23.17	73.82	0.00	0.0646	11.53	507.5	384.90	0.0559	437.5	7.874	14.60	8.01	1.61
	87.03	23.18	73.80	0.00	0.0645	11.55	508.0	385.48	0.0558	431.7	7.771	14.41	7.82	1.61
	88.03	23.20	73.82	0.00	0.0645	11.54	507.9	385.24	0.0561	432.9	7.793	14.45	7.86	1.61
	89.03	23.20	73.80	0.00	0.0646	11.51	506.4	384.24	0.0573	454.4	8.180	15.17	8.57	1.61
	90.03	23.18	73.80	0.00	0.0645	11.54	507.6	385.15	0.0562	436.1	7.849	14.56	7.97	1.61
	91.03	23.22	73.82	0.00	0.0644	11.53	507.4	384.93	0.0564	438.8	7.898	14.65	8.06	1.61
	92.03	23.20	73.80	0.00	0.0642	11.51	506.5	384.29	0.0573	443.4	7.981	14.80	8.21	1.61
	93.03	23.24	73.82	0.00	0.0645	11.53	507.2	384.81	0.0567	440.1	7.923	14.69	8.11	1.61
