Jun 29 2017 at 9:39:18
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.22	19.71	73.82	0.00	0.0692	12.64	556.1	416.84	0.0303	197.5	3.555	6.51	-3.31	1.56
	1.30	19.73	73.82	0.00	0.0690	12.63	555.9	416.73	0.0311	201.2	3.621	6.64	-3.06	1.56
	2.22	19.71	73.82	0.00	0.0689	12.58	553.7	415.06	0.0322	211.2	3.802	6.97	-2.41	1.56
	3.23	19.73	73.85	0.00	0.0689	12.59	553.8	414.98	0.0326	212.6	3.827	7.01	-2.32	1.56
	4.22	19.73	73.82	0.00	0.0688	12.58	553.5	414.88	0.0324	216.9	3.904	7.15	-2.05	1.56
	5.22	19.74	73.82	0.00	0.0689	12.56	552.8	414.40	0.0329	217.3	3.911	7.17	-2.02	1.56
	6.22	19.74	73.82	0.00	0.0688	12.54	551.6	413.50	0.0335	226.5	4.076	7.47	-1.46	1.56
	7.22	19.73	73.82	0.00	0.0687	12.53	551.5	413.41	0.0348	229.6	4.132	7.57	-1.28	1.56
	8.22	19.74	73.82	0.00	0.0688	12.54	551.9	413.76	0.0339	225.2	4.053	7.43	-1.54	1.57
	9.22	19.76	73.82	0.00	0.0686	12.52	551.1	413.13	0.0349	230.4	4.147	7.60	-1.23	1.56
	10.22	19.76	73.82	0.00	0.0687	12.51	550.5	412.69	0.0349	235.1	4.231	7.75	-0.95	1.56
	11.22	19.74	73.85	0.00	0.0686	12.48	549.3	411.62	0.0357	243.6	4.385	8.03	-0.47	1.56
	12.22	19.76	73.82	0.00	0.0686	12.48	549.3	411.78	0.0360	243.1	4.375	8.02	-0.49	1.56
	13.22	19.78	73.82	0.00	0.0685	12.46	548.4	411.20	0.0366	248.8	4.479	8.21	-0.17	1.56
	14.22	19.78	73.82	0.00	0.0684	12.46	548.0	410.89	0.0371	254.4	4.579	8.39	0.13	1.56
	15.22	19.76	73.82	0.00	0.0684	12.44	547.2	410.25	0.0383	262.2	4.720	8.65	0.55	1.56
	16.30	19.78	73.82	0.00	0.0684	12.44	547.5	410.48	0.0378	261.2	4.702	8.62	0.50	1.56
	17.22	19.78	73.85	0.00	0.0683	12.42	546.3	409.47	0.0388	268.3	4.830	8.85	0.87	1.56
	18.23	19.78	73.82	0.00	0.0683	12.41	546.1	409.46	0.0389	271.3	4.883	8.95	1.02	1.56
	19.22	19.78	73.85	0.00	0.0682	12.40	545.6	408.91	0.0395	278.0	5.005	9.17	1.36	1.56
	20.22	19.76	73.80	0.00	0.0682	12.41	546.1	409.53	0.0392	270.2	4.864	8.92	0.97	1.56
	21.22	19.81	73.82	0.00	0.0680	12.38	544.7	408.46	0.0403	279.5	5.032	9.22	1.44	1.56
	22.22	19.83	73.82	0.00	0.0681	12.38	544.7	408.44	0.0409	284.1	5.114	9.37	1.67	1.56
	23.22	19.81	73.80	0.00	0.0680	12.38	544.6	408.47	0.0410	286.0	5.148	9.44	1.76	1.56
