Jun 29 2017 at 10:10:59
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.16	26.72	73.82	0.00	0.0663	11.95	525.7	403.49	0.0522	393.3	7.079	13.28	6.63	1.66
	1.14	26.74	73.80	0.00	0.0663	11.94	525.6	403.56	0.0525	395.6	7.121	13.37	6.72	1.66
	2.16	26.74	73.80	0.00	0.0662	11.95	525.6	403.60	0.0530	399.0	7.181	13.48	6.84	1.66
	3.14	26.74	73.80	0.00	0.0663	11.95	525.9	403.79	0.0532	401.6	7.228	13.57	6.93	1.66
	4.16	26.74	73.82	0.00	0.0663	11.96	526.5	404.09	0.0534	409.0	7.361	13.81	7.20	1.66
	5.14	26.74	73.80	0.00	0.0663	11.96	526.2	404.07	0.0543	407.5	7.335	13.77	7.15	1.66
	6.16	26.71	73.80	0.00	0.0664	11.96	526.2	404.05	0.0538	407.2	7.329	13.75	7.13	1.66
	7.14	26.71	73.85	0.00	0.0663	11.97	526.6	404.00	0.0546	417.6	7.517	14.10	7.51	1.66
	8.14	26.75	73.80	0.00	0.0664	11.99	527.4	405.01	0.0551	431.4	7.764	14.57	7.98	1.66
	9.14	26.75	73.82	0.00	0.0663	11.97	526.5	404.19	0.0547	420.0	7.561	14.19	7.59	1.66
	10.14	26.75	73.80	0.00	0.0663	11.97	526.7	404.46	0.0548	422.3	7.601	14.27	7.67	1.66
	11.14	26.75	73.80	0.00	0.0665	11.99	527.6	405.13	0.0567	439.7	7.915	14.86	8.27	1.66
	12.14	26.75	73.82	0.00	0.0664	11.98	527.1	404.62	0.0557	431.5	7.768	14.58	7.99	1.66
	13.22	26.73	73.80	0.00	0.0664	11.97	526.9	404.56	0.0555	428.1	7.705	14.46	7.87	1.66
	14.14	26.73	73.80	0.00	0.0665	11.98	527.3	404.88	0.0565	433.3	7.799	14.64	8.05	1.66
	15.16	26.75	73.82	0.00	0.0665	11.99	527.5	404.91	0.0569	437.7	7.879	14.78	8.20	1.66
	16.14	26.75	73.80	0.00	0.0664	11.99	527.7	405.24	0.0567	441.2	7.942	14.91	8.31	1.66
	17.16	26.77	73.80	0.00	0.0665	11.99	527.7	405.23	0.0573	442.9	7.972	14.96	8.37	1.66
	18.14	26.77	73.80	0.00	0.0665	12.00	527.8	405.32	0.0575	446.9	8.044	15.10	8.50	1.66
	19.16	26.79	73.77	0.00	0.0666	12.01	528.5	406.00	0.0591	453.6	8.164	15.33	8.72	1.66
	20.14	26.81	73.77	0.00	0.0665	12.00	527.9	405.62	0.0575	448.7	8.077	15.17	8.57	1.66
	21.16	26.79	73.80	0.00	0.0664	12.01	528.6	405.96	0.0581	456.8	8.222	15.43	8.83	1.66
	22.14	26.77	73.80	0.00	0.0665	12.01	528.6	405.92	0.0587	457.9	8.242	15.47	8.86	1.66
	23.14	26.77	73.80	0.00	0.0666	12.02	529.1	406.28	0.0587	463.3	8.339	15.65	9.04	1.66
	24.22	26.79	73.85	0.00	0.0665	12.02	529.0	405.96	0.0586	463.9	8.351	15.67	9.06	1.66
	25.14	26.79	73.80	0.00	0.0665	12.01	528.2	405.68	0.0584	457.5	8.236	15.46	8.85	1.66
	26.22	26.77	73.77	0.00	0.0665	12.00	528.2	405.74	0.0587	459.2	8.265	15.52	8.90	1.66
	27.14	26.79	73.82	0.00	0.0665	12.01	528.6	405.82	0.0592	464.4	8.360	15.69	9.07	1.66
	28.22	26.81	73.77	0.00	0.0665	12.03	529.1	406.54	0.0594	468.9	8.440	15.85	9.22	1.66
	29.14	26.81	73.82	0.00	0.0666	12.03	529.4	406.46	0.0596	474.2	8.535	16.02	9.38	1.66
	30.16	26.81	73.80	0.00	0.0666	12.03	529.2	406.43	0.0603	474.1	8.535	16.02	9.38	1.66
	31.14	26.81	73.80	0.00	0.0666	12.03	529.3	406.50	0.0599	474.7	8.545	16.04	9.40	1.66
	32.16	26.83	73.80	0.00	0.0667	12.04	529.6	406.81	0.0608	479.9	8.639	16.22	9.56	1.66
	33.14	26.83	73.80	0.00	0.0667	12.05	530.3	407.34	0.0609	487.0	8.766	16.46	9.78	1.66
	34.16	26.83	73.77	0.00	0.0667	12.03	529.4	406.74	0.0606	481.0	8.658	16.26	9.60	1.66
	35.14	26.83	73.80	0.00	0.0667	12.03	529.5	406.66	0.0608	481.8	8.673	16.28	9.62	1.66
	36.16	26.83	73.80	0.00	0.0666	12.04	529.6	406.80	0.0610	484.9	8.729	16.39	9.72	1.66
	37.14	26.83	73.82	0.00	0.0666	12.04	529.6	406.65	0.0611	486.5	8.757	16.43	9.77	1.66
	38.14	26.85	73.80	0.00	0.0667	12.04	529.8	406.94	0.0615	491.0	8.839	16.60	9.91	1.66
	39.14	26.85	73.80	0.00	0.0667	12.04	529.8	406.99	0.0615	490.9	8.837	16.59	9.90	1.66
	40.14	26.82	73.80	0.00	0.0667	12.05	530.1	407.12	0.0617	495.3	8.915	16.74	10.03	1.66
