Jun 29 2017 at 10:00:54
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.31	24.66	73.82	0.00	0.0675	12.18	536.1	408.67	0.0396	277.4	4.993	9.30	1.56	1.63
	1.31	24.66	73.82	0.00	0.0673	12.17	535.5	408.16	0.0405	281.6	5.069	9.44	1.77	1.63
	2.31	24.66	73.80	0.00	0.0671	12.15	534.6	407.68	0.0405	287.0	5.167	9.63	2.04	1.63
	3.31	24.68	73.82	0.00	0.0671	12.18	535.9	408.50	0.0407	276.0	4.967	9.26	1.49	1.63
	4.31	24.66	73.80	0.00	0.0671	12.15	534.4	407.52	0.0410	287.6	5.176	9.65	2.06	1.63
	5.31	24.70	73.82	0.00	0.0670	12.12	533.1	406.44	0.0414	300.3	5.405	10.07	2.67	1.62
	6.31	24.70	73.77	0.00	0.0672	12.15	534.8	407.98	0.0411	286.6	5.159	9.62	2.02	1.63
	7.31	24.72	73.82	0.00	0.0670	12.11	533.1	406.40	0.0427	300.1	5.401	10.07	2.66	1.63
	8.31	24.73	73.80	0.00	0.0671	12.13	533.8	407.11	0.0416	294.3	5.298	9.88	2.39	1.63
	9.31	24.72	73.80	0.00	0.0670	12.12	533.4	406.83	0.0419	295.9	5.326	9.93	2.47	1.63
	10.31	24.72	73.75	0.00	0.0670	12.14	534.0	407.56	0.0419	289.7	5.214	9.73	2.17	1.63
	11.31	24.72	73.80	0.00	0.0669	12.11	533.1	406.54	0.0437	296.2	5.332	9.94	2.48	1.63
	12.31	24.69	73.80	0.00	0.0668	12.08	531.4	405.26	0.0442	312.9	5.632	10.50	3.25	1.63
	13.31	24.71	73.80	0.00	0.0669	12.08	531.6	405.46	0.0438	312.7	5.629	10.49	3.25	1.63
	14.31	24.69	73.80	0.00	0.0667	12.08	531.7	405.48	0.0438	310.3	5.586	10.41	3.14	1.63
	15.31	24.73	73.82	0.00	0.0668	12.07	531.3	405.05	0.0439	317.1	5.709	10.64	3.45	1.63
	16.31	24.71	73.80	0.00	0.0669	12.06	530.4	404.54	0.0444	323.3	5.820	10.85	3.72	1.63
	17.31	24.75	73.82	0.00	0.0668	12.06	530.4	404.44	0.0444	321.5	5.787	10.79	3.64	1.63
