Jun 29 2017 at 9:48:35
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.02	21.89	73.82	0.00	0.0676	12.28	540.2	407.92	0.0349	227.4	4.093	7.56	-1.31	1.59
	1.00	21.89	73.85	0.00	0.0679	12.29	540.7	408.21	0.0317	224.7	4.045	7.46	-1.47	1.59
	2.02	21.88	73.82	0.00	0.0677	12.24	538.7	406.81	0.0334	236.6	4.260	7.86	-0.76	1.58
	3.00	21.88	73.82	0.00	0.0676	12.24	538.8	406.83	0.0346	234.2	4.215	7.78	-0.91	1.58
	4.02	21.89	73.82	0.00	0.0672	12.22	537.7	406.02	0.0384	239.6	4.313	7.96	-0.59	1.58
	5.00	21.89	73.82	0.00	0.0669	12.14	534.0	403.30	0.0385	263.9	4.751	8.77	0.74	1.58
	6.02	21.91	73.82	0.00	0.0681	12.45	547.6	413.58	0.0303	183.0	3.294	6.08	-4.23	1.59
	7.00	21.91	73.82	0.00	0.0679	12.32	542.0	409.31	0.0325	213.4	3.841	7.09	-2.17	1.59
	8.02	21.91	73.82	0.00	0.0678	12.27	540.0	407.80	0.0325	223.6	4.025	7.43	-1.53	1.58
	9.00	21.91	73.82	0.00	0.0678	12.35	543.2	410.23	0.0326	207.1	3.728	6.88	-2.57	1.58
	10.02	21.89	73.80	0.00	0.0676	12.28	540.3	408.14	0.0340	224.4	4.040	7.46	-1.49	1.58
	11.00	21.89	73.82	0.00	0.0685	12.43	546.7	412.88	0.0280	187.7	3.378	6.24	-3.89	1.58
	12.00	21.93	73.82	0.00	0.0684	12.35	543.6	410.56	0.0294	206.2	3.712	6.85	-2.63	1.59
	13.08	21.91	73.80	0.00	0.0687	12.50	549.9	415.40	0.0268	174.4	3.139	5.80	-4.87	1.58
	14.00	21.91	73.80	0.00	0.0688	12.55	552.1	417.11	0.0252	157.9	2.841	5.25	-6.18	1.58
	15.02	21.93	73.82	0.00	0.0683	12.53	551.1	416.22	0.0280	163.1	2.936	5.42	-5.75	1.58
	16.00	21.93	73.82	0.00	0.0685	12.48	549.2	414.79	0.0274	170.4	3.068	5.66	-5.17	1.58
	17.02	21.93	73.82	0.00	0.0683	12.34	542.8	409.93	0.0287	206.0	3.708	6.85	-2.64	1.58
	18.00	21.96	73.85	0.00	0.0682	12.34	543.0	410.00	0.0296	202.7	3.648	6.73	-2.86	1.59
	19.02	21.96	73.82	0.00	0.0683	12.42	546.7	412.92	0.0269	183.3	3.299	6.09	-4.21	1.58
	20.00	21.94	73.75	0.00	0.0687	12.47	548.5	414.74	0.0268	174.1	3.134	5.79	-4.89	1.58
	21.02	21.96	73.82	0.00	0.0684	12.42	546.4	412.74	0.0279	184.3	3.318	6.13	-4.13	1.58
	22.00	21.96	73.80	0.00	0.0683	12.45	547.8	413.95	0.0286	180.5	3.248	6.00	-4.41	1.58
	23.02	21.94	73.85	0.00	0.0681	12.39	545.0	411.50	0.0300	193.6	3.484	6.43	-3.48	1.59
	24.08	21.98	73.82	0.00	0.0677	12.35	543.3	410.44	0.0337	208.8	3.758	6.94	-2.46	1.59
	25.02	21.98	73.80	0.00	0.0672	12.21	537.1	405.86	0.0368	243.1	4.375	8.08	-0.39	1.58
	26.08	22.01	73.82	0.00	0.0677	12.28	540.4	408.23	0.0331	225.0	4.050	7.48	-1.44	1.58
	27.00	21.94	73.82	0.00	0.0673	12.25	538.8	406.95	0.0361	233.3	4.200	7.75	-0.95	1.58
	28.08	21.98	73.80	0.00	0.0676	12.21	537.3	406.03	0.0345	242.2	4.359	8.05	-0.44	1.58
	29.00	21.99	73.82	0.00	0.0677	12.11	532.9	402.56	0.0337	271.5	4.887	9.02	1.14	1.59
	30.02	21.98	73.77	0.00	0.0679	12.26	539.3	407.70	0.0322	233.7	4.206	7.77	-0.93	1.58
	31.00	22.00	73.82	0.00	0.0684	12.27	540.0	407.97	0.0293	227.2	4.090	7.55	-1.31	1.58
	32.02	22.00	73.80	0.00	0.0672	12.13	533.9	403.47	0.0368	261.6	4.709	8.70	0.62	1.58
	33.00	22.01	73.80	0.00	0.0686	12.22	537.6	406.27	0.0271	240.3	4.325	7.99	-0.55	1.58
