Jun 29 2017 at 10:03:29
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.00	25.18	73.77	0.00	0.0668	12.09	532.0	406.51	0.0408	285.8	5.144	9.61	2.00	1.64
	0.67	25.20	73.80	0.00	0.0669	12.09	531.8	406.21	0.0407	283.5	5.104	9.53	1.89	1.64
	1.69	25.20	73.77	0.00	0.0668	12.08	531.7	406.32	0.0404	280.0	5.040	9.41	1.72	1.64
	2.67	25.20	73.82	0.00	0.0669	12.10	532.5	406.60	0.0449	301.8	5.432	10.14	2.77	1.64
	3.69	25.17	73.80	0.00	0.0668	12.10	532.3	406.62	0.0441	303.4	5.462	10.20	2.84	1.64
	4.67	25.21	73.77	0.00	0.0668	12.09	531.9	406.51	0.0414	290.4	5.228	9.77	2.23	1.64
	5.69	25.17	73.80	0.00	0.0671	12.11	532.8	406.97	0.0437	310.3	5.585	10.43	3.16	1.64
	6.67	25.21	73.77	0.00	0.0669	12.10	532.3	406.76	0.0439	295.5	5.319	9.94	2.47	1.64
	7.67	25.19	73.85	0.00	0.0668	12.10	532.4	406.39	0.0422	297.8	5.361	10.00	2.58	1.64
	8.67	25.23	73.80	0.00	0.0670	12.12	533.4	407.51	0.0452	312.1	5.618	10.49	3.24	1.64
	9.67	25.21	73.80	0.00	0.0669	12.11	532.8	407.02	0.0424	306.3	5.514	10.30	2.98	1.64
	10.75	25.23	73.80	0.00	0.0669	12.15	534.7	408.52	0.0444	320.8	5.775	10.78	3.63	1.64
	11.67	25.21	73.80	0.00	0.0670	12.12	533.1	407.29	0.0440	312.7	5.629	10.51	3.27	1.64
	12.75	25.23	73.77	0.00	0.0671	12.12	533.3	407.60	0.0446	320.8	5.774	10.79	3.63	1.64
	13.67	25.23	73.80	0.00	0.0668	12.12	533.2	407.37	0.0444	315.6	5.681	10.61	3.40	1.64
	14.75	25.23	73.80	0.00	0.0670	12.12	533.3	407.47	0.0439	314.0	5.651	10.55	3.33	1.64
	15.67	25.23	73.82	0.00	0.0671	12.12	533.1	407.12	0.0441	314.5	5.662	10.57	3.35	1.64
	16.69	25.25	73.80	0.00	0.0671	12.13	533.8	407.84	0.0448	321.5	5.786	10.81	3.66	1.64
	17.67	25.23	73.82	0.00	0.0670	12.13	533.9	407.77	0.0449	326.6	5.879	10.98	3.89	1.64
	18.69	25.25	73.80	0.00	0.0670	12.12	533.4	407.54	0.0446	322.2	5.800	10.83	3.70	1.64
	19.67	25.21	73.80	0.00	0.0670	12.15	534.7	408.48	0.0455	332.4	5.984	11.17	4.14	1.64
	20.69	25.27	73.80	0.00	0.0669	12.13	533.7	407.79	0.0449	325.9	5.867	10.96	3.86	1.64
	21.67	25.27	73.80	0.00	0.0668	12.14	534.2	408.14	0.0458	330.4	5.948	11.11	4.06	1.64
	22.67	25.25	73.80	0.00	0.0671	12.15	534.6	408.48	0.0465	337.2	6.070	11.34	4.34	1.64
	23.67	25.25	73.80	0.00	0.0671	12.16	534.8	408.63	0.0460	339.3	6.108	11.41	4.43	1.64
	24.67	25.30	73.80	0.00	0.0671	12.17	535.5	409.18	0.0473	346.7	6.240	11.66	4.74	1.64
	25.67	25.31	73.80	0.00	0.0671	12.15	534.7	408.60	0.0463	339.8	6.116	11.42	4.45	1.64
	26.67	25.26	73.80	0.00	0.0670	12.16	535.0	408.74	0.0465	342.2	6.160	11.50	4.55	1.64
	27.69	25.29	73.82	0.00	0.0672	12.16	535.2	408.85	0.0477	348.5	6.274	11.71	4.82	1.64
	28.67	25.31	73.80	0.00	0.0673	12.17	535.3	409.10	0.0476	350.0	6.300	11.77	4.88	1.64
	29.69	25.25	73.82	0.00	0.0672	12.16	535.0	408.58	0.0475	348.1	6.266	11.70	4.80	1.64
	30.67	25.26	73.77	0.00	0.0672	12.17	535.6	409.39	0.0478	354.5	6.381	11.92	5.06	1.64
	31.69	25.26	73.80	0.00	0.0673	12.15	534.6	408.45	0.0478	345.8	6.224	11.62	4.70	1.64
	32.67	25.30	73.80	0.00	0.0672	12.18	535.8	409.45	0.0486	360.5	6.489	12.12	5.30	1.64
	33.69	25.30	73.80	0.00	0.0673	12.21	537.4	410.66	0.0510	375.0	6.751	12.61	5.87	1.64
	34.67	25.30	73.80	0.00	0.0672	12.20	536.8	410.21	0.0489	367.4	6.614	12.35	5.58	1.64
	35.69	25.30	73.80	0.00	0.0675	12.23	537.9	411.09	0.0514	381.9	6.875	12.84	6.14	1.64
	36.67	25.30	73.80	0.00	0.0671	12.16	535.0	408.81	0.0483	356.9	6.424	12.00	5.16	1.64
	37.67	25.28	73.80	0.00	0.0672	12.17	535.6	409.25	0.0490	362.1	6.518	12.17	5.37	1.64
	38.67	25.32	73.80	0.00	0.0672	12.17	535.6	409.30	0.0490	363.3	6.539	12.21	5.41	1.64
