Jun 29 2017 at 9:42:21
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.16	20.50	73.82	0.00	0.0675	12.25	539.0	405.10	0.0428	289.6	5.213	9.58	1.97	1.58
	1.16	20.48	73.80	0.00	0.0674	12.23	538.1	404.55	0.0431	307.1	5.528	10.16	2.79	1.58
	2.14	20.50	73.82	0.00	0.0674	12.24	538.6	404.83	0.0419	299.7	5.395	9.91	2.45	1.58
	3.16	20.52	73.82	0.00	0.0675	12.24	538.7	404.89	0.0427	301.4	5.425	9.97	2.53	1.58
	4.14	20.52	73.85	0.00	0.0675	12.24	538.7	404.76	0.0443	317.0	5.706	10.48	3.24	1.58
	5.16	20.53	73.82	0.00	0.0675	12.24	538.8	404.98	0.0440	310.4	5.586	10.27	2.94	1.58
	6.14	20.52	73.82	0.00	0.0675	12.23	538.3	404.64	0.0433	312.7	5.628	10.34	3.04	1.58
	7.16	20.50	73.80	0.00	0.0675	12.24	538.4	404.82	0.0435	310.6	5.592	10.28	2.95	1.58
	8.14	20.50	73.82	0.00	0.0675	12.24	538.4	404.68	0.0437	312.5	5.626	10.34	3.04	1.58
	9.16	20.55	73.82	0.00	0.0675	12.23	538.3	404.64	0.0451	321.0	5.777	10.62	3.42	1.58
	10.14	20.57	73.82	0.00	0.0675	12.23	538.2	404.61	0.0455	330.7	5.952	10.94	3.84	1.58
	11.16	20.55	73.82	0.00	0.0675	12.25	538.8	405.03	0.0453	328.9	5.921	10.88	3.76	1.58
	12.14	20.53	73.82	0.00	0.0676	12.24	538.7	404.95	0.0461	334.6	6.023	11.07	4.01	1.58
	13.16	20.57	73.82	0.00	0.0676	12.25	539.0	405.20	0.0466	337.3	6.072	11.16	4.12	1.58
	14.22	20.55	73.82	0.00	0.0676	12.25	539.2	405.34	0.0473	351.9	6.335	11.64	4.73	1.58
	15.16	20.57	73.82	0.00	0.0674	12.24	538.6	404.94	0.0465	342.1	6.158	11.32	4.32	1.58
	16.16	20.55	73.80	0.00	0.0675	12.24	538.7	405.11	0.0467	342.7	6.168	11.34	4.35	1.58
	17.14	20.55	73.82	0.00	0.0676	12.25	539.1	405.28	0.0475	347.2	6.249	11.48	4.53	1.58
	18.16	20.60	73.82	0.00	0.0674	12.24	538.5	404.90	0.0472	344.1	6.194	11.38	4.41	1.58
	19.14	20.58	73.82	0.00	0.0675	12.24	538.4	404.81	0.0473	346.2	6.232	11.45	4.49	1.58
	20.16	20.58	73.87	0.00	0.0676	12.25	539.0	404.96	0.0481	348.0	6.264	11.50	4.57	1.58
	21.14	20.57	73.82	0.00	0.0677	12.27	539.7	405.75	0.0490	358.6	6.454	11.86	5.00	1.58
	22.16	20.60	73.82	0.00	0.0676	12.26	539.4	405.55	0.0486	360.3	6.486	11.92	5.07	1.59
	23.14	20.60	73.85	0.00	0.0677	12.28	540.5	406.22	0.0500	370.4	6.668	12.25	5.47	1.58
	24.16	20.60	73.82	0.00	0.0676	12.27	539.7	405.78	0.0487	361.4	6.506	11.96	5.11	1.58
	25.14	20.58	73.80	0.00	0.0676	12.27	539.7	405.90	0.0494	364.8	6.566	12.07	5.24	1.58
	26.16	20.62	73.85	0.00	0.0675	12.25	539.2	405.27	0.0491	362.3	6.522	11.98	5.15	1.58
	27.22	20.62	73.82	0.00	0.0677	12.26	539.4	405.61	0.0502	368.5	6.633	12.19	5.39	1.58
	28.16	20.64	73.82	0.00	0.0678	12.30	541.2	406.94	0.0512	382.6	6.886	12.66	5.93	1.58
	29.16	20.62	73.80	0.00	0.0677	12.27	539.9	406.08	0.0505	377.2	6.789	12.48	5.73	1.58
	30.16	20.62	73.82	0.00	0.0677	12.29	540.9	406.69	0.0512	384.6	6.922	12.72	6.01	1.58
	31.16	20.64	73.82	0.00	0.0678	12.29	540.7	406.61	0.0515	385.3	6.935	12.75	6.03	1.58
	32.14	20.64	73.85	0.00	0.0677	12.30	541.3	406.91	0.0516	389.6	7.013	12.89	6.20	1.58
	33.16	20.62	73.82	0.00	0.0677	12.30	541.2	406.95	0.0518	390.8	7.035	12.93	6.24	1.58
	34.14	20.64	73.82	0.00	0.0678	12.29	540.6	406.52	0.0520	388.5	6.993	12.85	6.16	1.58
	35.16	20.65	73.82	0.00	0.0678	12.30	541.3	407.07	0.0526	397.4	7.154	13.15	6.49	1.58
	36.14	20.65	73.82	0.00	0.0678	12.30	541.1	406.88	0.0527	396.6	7.138	13.12	6.45	1.58
	37.16	20.65	73.82	0.00	0.0678	12.30	541.1	406.88	0.0527	394.6	7.103	13.06	6.38	1.58
	38.14	20.65	73.80	0.00	0.0678	12.31	541.5	407.35	0.0528	401.5	7.227	13.29	6.63	1.58
	39.16	20.65	73.82	0.00	0.0678	12.32	542.0	407.56	0.0536	407.6	7.338	13.49	6.85	1.59
	40.16	20.65	73.82	0.00	0.0678	12.30	541.4	407.10	0.0531	402.5	7.245	13.32	6.67	1.58
	41.16	20.67	73.85	0.00	0.0679	12.34	542.8	408.03	0.0544	412.5	7.425	13.64	7.03	1.58
	42.16	20.69	73.85	0.00	0.0678	12.30	541.3	406.97	0.0532	403.8	7.269	13.36	6.72	1.58
	43.16	20.69	73.82	0.00	0.0679	12.34	542.8	408.20	0.0545	415.5	7.478	13.75	7.13	1.58
	44.16	20.67	73.85	0.00	0.0678	12.32	542.0	407.44	0.0539	410.5	7.389	13.58	6.96	1.58
	45.14	20.69	73.85	0.00	0.0679	12.31	541.7	407.28	0.0539	410.5	7.388	13.58	6.96	1.59
	46.16	20.70	73.82	0.00	0.0679	12.32	542.2	407.83	0.0544	416.6	7.499	13.79	7.17	1.58
	47.14	20.68	73.82	0.00	0.0680	12.33	542.3	407.88	0.0549	417.0	7.507	13.80	7.19	1.58
	48.16	20.67	73.82	0.00	0.0680	12.37	544.2	409.25	0.0556	429.3	7.728	14.21	7.61	1.59
	49.14	20.70	73.85	0.00	0.0679	12.33	542.7	408.05	0.0549	421.2	7.581	13.93	7.33	1.58
	50.16	20.72	73.82	0.00	0.0679	12.33	542.6	408.15	0.0552	422.6	7.606	13.99	7.38	1.59
	51.14	20.72	73.82	0.00	0.0679	12.35	543.4	408.71	0.0552	427.2	7.689	14.14	7.54	1.59
	52.16	20.70	73.82	0.00	0.0680	12.36	543.7	408.95	0.0558	433.4	7.801	14.34	7.75	1.59
	53.14	20.72	73.80	0.00	0.0681	12.35	543.4	408.84	0.0559	429.7	7.734	14.23	7.63	1.58
	54.16	20.70	73.82	0.00	0.0678	12.31	541.5	407.29	0.0555	426.0	7.667	14.10	7.50	1.58
	55.22	20.74	73.85	0.00	0.0679	12.34	543.1	408.40	0.0557	432.8	7.790	14.32	7.73	1.58
	56.16	20.74	73.85	0.00	0.0680	12.36	543.7	408.86	0.0561	434.8	7.826	14.39	7.80	1.59
	57.16	20.74	73.85	0.00	0.0682	12.39	545.1	409.88	0.0575	444.2	7.996	14.70	8.12	1.59
	58.16	20.75	73.82	0.00	0.0679	12.35	543.6	408.91	0.0563	438.3	7.890	14.51	7.92	1.59
	59.16	20.75	73.85	0.00	0.0682	12.37	544.1	409.15	0.0571	441.9	7.954	14.62	8.04	1.59
	60.16	20.73	73.82	0.00	0.0681	12.37	544.5	409.57	0.0571	445.3	8.016	14.74	8.15	1.59
	61.16	20.74	73.82	0.00	0.0679	12.35	543.2	408.61	0.0565	439.2	7.905	14.53	7.95	1.59
	62.14	20.75	73.82	0.00	0.0682	12.36	543.7	409.01	0.0573	443.2	7.978	14.67	8.08	1.59
	63.16	20.77	73.82	0.00	0.0680	12.39	545.0	410.01	0.0573	449.0	8.082	14.86	8.27	1.59
	64.14	20.77	73.82	0.00	0.0680	12.34	542.9	408.46	0.0573	443.3	7.979	14.67	8.09	1.59
	65.16	20.75	73.82	0.00	0.0683	12.39	545.2	410.16	0.0583	455.3	8.196	15.07	8.48	1.59
	66.14	20.75	73.82	0.00	0.0682	12.38	544.8	409.86	0.0577	451.7	8.131	14.95	8.36	1.59
	67.16	20.79	73.82	0.00	0.0682	12.36	543.7	409.07	0.0581	449.8	8.097	14.89	8.30	1.59
	68.14	20.77	73.82	0.00	0.0680	12.38	544.7	409.76	0.0579	454.2	8.176	15.03	8.45	1.59
	69.16	20.79	73.85	0.00	0.0681	12.37	544.4	409.41	0.0582	453.8	8.169	15.02	8.43	1.59
	70.22	20.77	73.82	0.00	0.0681	12.38	544.8	409.85	0.0583	457.6	8.237	15.15	8.56	1.59
	71.16	20.77	73.82	0.00	0.0680	12.36	543.9	409.14	0.0584	455.1	8.192	15.06	8.47	1.59
	72.16	20.77	73.85	0.00	0.0683	12.43	546.8	411.23	0.0590	466.8	8.402	15.45	8.85	1.59
	73.16	20.80	73.82	0.00	0.0679	12.37	544.1	409.39	0.0583	457.8	8.240	15.16	8.56	1.59
	74.16	20.79	73.87	0.00	0.0684	12.40	545.6	410.18	0.0600	466.6	8.398	15.43	8.84	1.59
	75.16	20.80	73.82	0.00	0.0682	12.41	546.0	410.81	0.0592	468.5	8.433	15.51	8.91	1.59
	76.16	20.82	73.80	0.00	0.0682	12.39	545.0	410.20	0.0595	466.1	8.390	15.44	8.83	1.59
	77.14	20.79	73.82	0.00	0.0683	12.42	546.4	411.05	0.0595	470.1	8.461	15.56	8.95	1.59
	78.16	20.80	73.82	0.00	0.0683	12.44	547.2	411.69	0.0599	476.2	8.571	15.76	9.15	1.59
	79.14	20.84	73.82	0.00	0.0682	12.41	545.9	410.80	0.0595	470.9	8.477	15.59	8.98	1.59
	80.16	20.82	73.82	0.00	0.0682	12.42	546.4	411.11	0.0598	474.1	8.533	15.69	9.08	1.59
	81.22	20.84	73.82	0.00	0.0684	12.43	547.1	411.69	0.0602	476.6	8.578	15.78	9.16	1.59
	82.16	20.82	73.82	0.00	0.0684	12.42	546.7	411.32	0.0604	477.0	8.586	15.79	9.17	1.59
	83.22	20.82	73.85	0.00	0.0683	12.44	547.6	411.87	0.0605	480.5	8.650	15.90	9.28	1.59
	84.16	20.85	73.82	0.00	0.0684	12.43	547.1	411.71	0.0606	479.2	8.626	15.87	9.24	1.59
