Jun 29 2017 at 10:08:25
Frequency: 1.00Hz.
CO2
Zero:  Value:0.91  Date:May 19 2009 at 7:53:33 AM
Span:  Value:1.00  Date:May 19 2009 at 8:00:06 AM
H2O
Zero:  Value:0.77  Date:May 19 2009 at 7:54:01 AM
Span:  Value:1.01  Date:28 Jun 2004	 at 08:29:05	
	Relative Time	Temperature	Pressure	Aux Input	CO2 Absorptance	CO2 mmol/m3	CO2 mg/m3	CO2 umol/mol	H2O Absorptance	H2O mmol/m3	H2O g/m3	H2O mmol/mol	H2O(°C)	Cooler Voltage
	0.06	26.20	73.82	0.00	0.0669	12.08	531.5	407.27	0.0439	318.6	5.734	10.74	3.58	1.65
	1.06	26.24	73.80	0.00	0.0667	12.07	530.9	406.98	0.0445	320.7	5.772	10.82	3.67	1.65
	2.06	26.24	73.77	0.00	0.0667	12.05	530.4	406.75	0.0450	325.6	5.860	10.99	3.89	1.65
	3.06	26.24	73.80	0.00	0.0667	12.07	531.1	407.15	0.0450	320.7	5.773	10.82	3.68	1.65
	4.06	26.24	73.80	0.00	0.0666	12.04	529.8	406.11	0.0462	332.4	5.982	11.21	4.18	1.65
	5.06	26.24	73.80	0.00	0.0668	12.06	530.5	406.67	0.0458	325.8	5.865	10.99	3.90	1.65
	6.05	26.22	73.82	0.00	0.0666	12.01	528.3	404.84	0.0478	352.7	6.348	11.89	5.03	1.65
	7.06	26.26	73.80	0.00	0.0664	12.00	528.1	404.88	0.0495	362.5	6.525	12.23	5.43	1.65
	8.14	26.24	73.82	0.00	0.0663	11.97	526.8	403.70	0.0493	371.5	6.687	12.53	5.78	1.65
	9.06	26.26	73.77	0.00	0.0665	11.98	527.3	404.38	0.0482	366.3	6.593	12.36	5.58	1.65
	10.06	26.24	73.77	0.00	0.0665	11.99	527.7	404.67	0.0482	357.0	6.427	12.05	5.21	1.65
	11.06	26.28	73.77	0.00	0.0664	11.97	526.6	403.87	0.0488	371.2	6.681	12.53	5.77	1.65
	12.06	26.24	73.77	0.00	0.0663	11.98	527.1	404.22	0.0491	361.9	6.515	12.21	5.40	1.65
	13.06	26.24	73.80	0.00	0.0664	11.97	526.7	403.73	0.0493	365.8	6.585	12.34	5.56	1.65
	14.06	26.24	73.80	0.00	0.0662	11.96	526.2	403.41	0.0503	374.0	6.733	12.62	5.88	1.65
	15.06	26.26	73.80	0.00	0.0659	11.91	523.8	401.59	0.0537	400.8	7.214	13.52	6.88	1.65
	16.06	26.30	73.80	0.00	0.0660	11.91	523.8	401.64	0.0521	398.7	7.177	13.45	6.81	1.65
	17.06	26.30	73.77	0.00	0.0662	11.93	524.8	402.54	0.0515	388.1	6.987	13.10	6.42	1.65
	18.06	26.30	73.80	0.00	0.0662	11.93	524.7	402.30	0.0520	386.9	6.964	13.05	6.37	1.65
	19.06	26.30	73.82	0.00	0.0662	11.91	523.9	401.57	0.0517	394.7	7.104	13.31	6.66	1.65
	20.06	26.29	73.80	0.00	0.0662	11.91	524.1	401.80	0.0523	395.3	7.115	13.33	6.68	1.65
	21.08	26.30	73.77	0.00	0.0659	11.89	523.4	401.41	0.0544	406.9	7.325	13.73	7.11	1.65
	22.06	26.28	73.82	0.00	0.0660	11.88	522.9	400.78	0.0537	409.1	7.364	13.80	7.18	1.65
	23.06	26.32	73.80	0.00	0.0660	11.89	523.3	401.21	0.0542	406.5	7.317	13.72	7.09	1.65
	24.06	26.28	73.80	0.00	0.0660	11.87	522.3	400.39	0.0541	414.4	7.459	13.98	7.37	1.65
	25.06	26.32	73.80	0.00	0.0658	11.85	521.5	399.91	0.0550	422.7	7.609	14.26	7.66	1.65
	26.06	26.32	73.80	0.00	0.0660	11.87	522.3	400.49	0.0546	417.4	7.514	14.08	7.48	1.65
	27.06	26.23	73.80	0.00	0.0659	11.86	522.0	400.14	0.0548	418.2	7.528	14.11	7.50	1.65
	28.06	26.32	73.80	0.00	0.0658	11.85	521.4	399.82	0.0553	425.9	7.666	14.37	7.77	1.65
	29.06	26.32	73.80	0.00	0.0658	11.83	520.4	399.05	0.0555	432.8	7.791	14.60	8.01	1.65
	30.06	26.33	73.80	0.00	0.0658	11.85	521.2	399.69	0.0558	427.6	7.697	14.43	7.83	1.65
	31.06	26.35	73.82	0.00	0.0658	11.84	521.0	399.43	0.0554	428.0	7.703	14.44	7.85	1.65
	32.06	26.35	73.77	0.00	0.0657	11.82	520.1	399.00	0.0563	437.1	7.867	14.75	8.16	1.65
	33.06	26.33	73.77	0.00	0.0656	11.80	519.2	398.24	0.0571	448.1	8.066	15.13	8.52	1.65
	34.06	26.31	73.77	0.00	0.0656	11.82	520.0	398.86	0.0569	439.8	7.916	14.84	8.24	1.65
	35.06	26.33	73.80	0.00	0.0656	11.80	519.0	397.99	0.0577	446.9	8.045	15.08	8.48	1.65
	36.06	26.37	73.80	0.00	0.0655	11.81	519.4	398.36	0.0584	445.4	8.017	15.03	8.43	1.65
	37.06	26.37	73.80	0.00	0.0655	11.79	518.7	397.80	0.0578	452.8	8.150	15.28	8.68	1.65
	38.06	26.35	73.80	0.00	0.0656	11.78	518.3	397.43	0.0580	454.3	8.178	15.33	8.73	1.65
	39.06	26.31	73.80	0.00	0.0654	11.78	518.2	397.35	0.0585	456.1	8.209	15.39	8.78	1.65
	40.06	26.33	73.80	0.00	0.0654	11.76	517.6	396.90	0.0592	462.8	8.331	15.62	9.00	1.65
	41.06	26.35	73.80	0.00	0.0654	11.75	517.0	396.45	0.0597	469.7	8.455	15.85	9.22	1.65
	42.06	26.35	73.80	0.00	0.0656	11.76	517.3	396.68	0.0589	465.2	8.373	15.70	9.08	1.65
	43.06	26.39	73.80	0.00	0.0654	11.75	517.0	396.53	0.0597	467.5	8.414	15.78	9.15	1.65
	44.06	26.39	73.80	0.00	0.0653	11.73	516.1	395.80	0.0600	475.8	8.564	16.06	9.41	1.65
	45.06	26.34	73.80	0.00	0.0653	11.73	516.2	395.81	0.0599	475.8	8.564	16.05	9.41	1.65
	46.06	26.39	73.80	0.00	0.0652	11.74	516.3	396.01	0.0602	472.6	8.507	15.95	9.31	1.65
	47.06	26.37	73.80	0.00	0.0653	11.70	514.6	394.64	0.0614	491.7	8.850	16.59	9.90	1.65
	48.06	26.37	73.75	0.00	0.0652	11.71	515.1	395.31	0.0607	485.0	8.730	16.38	9.70	1.65
	49.06	26.39	73.77	0.00	0.0652	11.70	514.8	394.97	0.0611	488.7	8.797	16.50	9.81	1.65
	50.06	26.37	73.85	0.00	0.0654	11.70	515.0	394.69	0.0610	485.0	8.730	16.35	9.70	1.65
	51.06	26.39	73.82	0.00	0.0651	11.70	514.8	394.66	0.0613	487.6	8.776	16.45	9.78	1.65
	52.06	26.37	73.80	0.00	0.0651	11.67	513.5	393.82	0.0617	498.1	8.967	16.81	10.10	1.65
	53.14	26.41	73.80	0.00	0.0650	11.66	512.9	393.38	0.0628	502.1	9.037	16.94	10.22	1.65
	54.06	26.41	73.77	0.00	0.0650	11.66	513.2	393.76	0.0628	499.6	8.993	16.87	10.14	1.65
	55.06	26.43	73.77	0.00	0.0651	11.66	513.1	393.74	0.0619	501.5	9.027	16.93	10.20	1.66
	56.06	26.41	73.80	0.00	0.0650	11.63	511.7	392.50	0.0632	516.6	9.298	17.43	10.64	1.65
	57.06	26.43	73.80	0.00	0.0649	11.65	512.6	393.23	0.0629	507.1	9.127	17.11	10.37	1.65
	58.06	26.38	73.80	0.00	0.0649	11.63	511.9	392.57	0.0635	511.4	9.205	17.26	10.49	1.65
	59.06	26.43	73.82	0.00	0.0649	11.62	511.3	392.08	0.0639	518.3	9.329	17.49	10.69	1.65
	60.06	26.40	73.80	0.00	0.0650	11.62	511.2	392.08	0.0643	519.4	9.349	17.53	10.72	1.65
	61.06	26.40	73.77	0.00	0.0648	11.60	510.4	391.58	0.0641	522.9	9.412	17.65	10.83	1.65
	62.06	26.45	73.82	0.00	0.0648	11.61	511.0	391.86	0.0638	518.6	9.336	17.50	10.70	1.65
	63.06	26.40	73.82	0.00	0.0648	11.61	510.9	391.75	0.0638	518.9	9.339	17.50	10.71	1.65
	64.06	26.44	73.77	0.00	0.0647	11.60	510.3	391.59	0.0645	523.6	9.426	17.68	10.85	1.65
	65.06	26.46	73.77	0.00	0.0645	11.58	509.4	390.95	0.0652	530.6	9.551	17.92	11.05	1.65
	66.14	26.44	73.80	0.00	0.0646	11.59	510.1	391.27	0.0647	526.5	9.476	17.77	10.93	1.65
	67.06	26.42	73.80	0.00	0.0647	11.55	508.3	389.92	0.0663	543.2	9.778	18.33	11.40	1.66
	68.08	26.44	73.82	0.00	0.0645	11.57	509.0	390.33	0.0657	534.4	9.620	18.03	11.16	1.66
	69.06	26.46	73.80	0.00	0.0645	11.57	509.0	390.48	0.0655	533.8	9.608	18.02	11.14	1.65
	70.06	26.42	73.80	0.00	0.0645	11.55	508.2	389.80	0.0659	541.2	9.741	18.26	11.34	1.65
	71.06	26.48	73.80	0.00	0.0645	11.55	508.2	389.92	0.0658	539.6	9.712	18.21	11.30	1.65
	72.06	26.46	73.80	0.00	0.0644	11.54	507.8	389.56	0.0670	544.5	9.800	18.38	11.44	1.66
	73.06	26.44	73.80	0.00	0.0646	11.53	507.2	389.09	0.0661	549.3	9.887	18.54	11.57	1.66
	74.06	26.44	73.80	0.00	0.0645	11.54	507.7	389.45	0.0662	543.6	9.786	18.35	11.41	1.65
	75.06	26.44	73.75	0.00	0.0645	11.53	507.4	389.52	0.0664	546.1	9.830	18.44	11.48	1.65
	76.06	26.48	73.75	0.00	0.0645	11.52	506.8	389.05	0.0666	550.1	9.902	18.58	11.59	1.66
	77.06	26.48	73.80	0.00	0.0643	11.52	506.7	388.74	0.0674	550.3	9.906	18.58	11.60	1.65
	78.06	26.48	73.80	0.00	0.0643	11.51	506.3	388.41	0.0672	555.4	9.998	18.75	11.74	1.66
	79.08	26.46	73.80	0.00	0.0641	11.46	504.2	386.78	0.0691	582.9	10.493	19.68	12.47	1.66
	80.06	26.48	73.80	0.00	0.0641	11.46	504.4	387.00	0.0683	572.4	10.303	19.32	12.20	1.66
	81.08	26.50	73.80	0.00	0.0642	11.48	505.0	387.42	0.0680	564.3	10.157	19.05	11.98	1.66
	82.06	26.50	73.80	0.00	0.0641	11.49	505.4	387.76	0.0676	560.1	10.083	18.91	11.87	1.66
	83.08	26.48	73.80	0.00	0.0642	11.47	504.6	387.12	0.0681	567.9	10.222	19.17	12.08	1.66
	84.06	26.50	73.80	0.00	0.0642	11.47	504.6	387.13	0.0684	568.6	10.236	19.20	12.10	1.66
	85.06	26.48	73.80	0.00	0.0641	11.47	504.5	387.06	0.0684	568.2	10.228	19.18	12.08	1.66
	86.06	26.52	73.75	0.00	0.0642	11.44	503.4	386.52	0.0690	575.7	10.362	19.45	12.28	1.66
	87.06	26.50	73.80	0.00	0.0639	11.44	503.2	386.04	0.0696	578.9	10.420	19.54	12.37	1.66
	88.06	26.52	73.80	0.00	0.0639	11.43	503.1	386.04	0.0699	578.4	10.411	19.53	12.36	1.66
	89.06	26.54	73.82	0.00	0.0638	11.40	501.7	384.88	0.0699	589.6	10.612	19.90	12.65	1.66
	90.06	26.54	73.80	0.00	0.0639	11.43	503.0	385.99	0.0692	579.0	10.422	19.55	12.37	1.66
	91.06	26.53	73.80	0.00	0.0638	11.41	501.9	385.14	0.0700	590.3	10.625	19.93	12.67	1.66
	92.06	26.53	73.80	0.00	0.0638	11.40	501.7	384.94	0.0707	588.5	10.593	19.87	12.62	1.66
	93.06	26.53	73.80	0.00	0.0638	11.41	501.8	385.08	0.0700	589.2	10.605	19.89	12.64	1.66
	94.14	26.53	73.80	0.00	0.0638	11.40	501.7	384.94	0.0702	589.9	10.618	19.92	12.66	1.66
	95.06	26.51	73.80	0.00	0.0637	11.38	500.7	384.17	0.0709	597.9	10.763	20.19	12.86	1.66
